dist,T,N,routing,rep,thpt,r_p50_us,r_p99_us,wc_s
uniform,32,4,worker_id,3,1918283,20.86,43.84,15
uniform,32,4,key_hash,1,1972750,14.56,139.73,15
uniform,32,4,key_hash,2,1972595,14.56,139.71,15
uniform,32,4,key_hash,3,1972091,14.54,139.68,15
uniform,32,8,worker_id,1,1902085,36.44,46.31,16
uniform,32,8,worker_id,2,1897639,36.55,46.54,16
uniform,32,8,worker_id,3,1893141,36.59,47.01,17
uniform,32,8,key_hash,1,1817047,32.80,96.52,16
uniform,32,8,key_hash,2,1822698,32.79,96.38,16
uniform,32,8,key_hash,3,1824601,32.84,96.69,17
uniform,64,0,worker_id,1,501455,262.24,275.81,32
uniform,64,0,worker_id,2,495930,262.32,332.00,33
uniform,64,0,worker_id,3,497475,262.48,326.98,33
uniform,64,0,key_hash,1,497374,262.34,329.02,33
uniform,64,0,key_hash,2,499962,262.15,322.60,33
uniform,64,0,key_hash,3,497937,262.41,326.36,33
uniform,64,4,worker_id,1,2416833,39.19,85.86,32
uniform,64,4,worker_id,2,2435780,39.17,81.18,32
uniform,64,4,worker_id,3,190479,39.56,3013.57,56
uniform,64,4,key_hash,1,2393912,22.32,286.45,32
uniform,64,4,key_hash,2,2468109,22.26,264.51,32
uniform,64,4,key_hash,3,2508469,22.31,255.55,32
uniform,64,8,worker_id,1,1906897,38.07,95.12,32
uniform,64,8,worker_id,2,1754593,37.92,1170.46,32
uniform,64,8,worker_id,3,1782422,37.98,83.53,33
uniform,64,8,key_hash,1,1945890,16.19,311.40,32
uniform,64,8,key_hash,2,1731216,16.26,327.62,32
uniform,64,8,key_hash,3,1906328,16.26,322.65,32
zipf-0.99,1,0,worker_id,1,824697,0.24,10.86,16
zipf-0.99,1,0,worker_id,2,824715,0.24,10.88,15
zipf-0.99,1,0,worker_id,3,823290,0.24,10.86,15
zipf-0.99,1,0,key_hash,1,825853,0.24,10.84,15
zipf-0.99,1,0,key_hash,2,826310,0.24,10.86,16
zipf-0.99,1,0,key_hash,3,828638,0.24,10.82,16
zipf-0.99,1,4,worker_id,1,826665,0.24,10.84,16
zipf-0.99,1,4,worker_id,2,824066,0.25,10.86,16
zipf-0.99,1,4,worker_id,3,823996,0.24,10.87,16
zipf-0.99,1,4,key_hash,1,825980,0.25,10.86,16
zipf-0.99,1,4,key_hash,2,827118,0.24,10.83,15
zipf-0.99,1,4,key_hash,3,827609,0.24,10.85,15
zipf-0.99,1,8,worker_id,1,824276,0.25,10.86,15
zipf-0.99,1,8,worker_id,2,824854,0.24,10.85,15
zipf-0.99,1,8,worker_id,3,825154,0.24,10.85,15
zipf-0.99,1,8,key_hash,1,826663,0.24,10.84,15
zipf-0.99,1,8,key_hash,2,826607,0.24,10.84,16
zipf-0.99,1,8,key_hash,3,826305,0.24,10.85,16
zipf-0.99,2,0,worker_id,1,1145127,0.25,14.67,14
zipf-0.99,2,0,worker_id,2,1133591,0.25,14.68,13
zipf-0.99,2,0,worker_id,3,1038889,0.26,14.73,14
zipf-0.99,2,0,key_hash,1,1135054,0.25,14.70,13
zipf-0.99,2,0,key_hash,2,1141295,0.25,14.66,14
zipf-0.99,2,0,key_hash,3,1118892,0.26,14.68,14
zipf-0.99,2,4,worker_id,1,1123691,0.26,14.67,14
zipf-0.99,2,4,worker_id,2,1136888,0.25,14.70,14
zipf-0.99,2,4,worker_id,3,1132566,0.26,14.70,14
zipf-0.99,2,4,key_hash,1,1104053,0.26,14.70,14
zipf-0.99,2,4,key_hash,2,1130539,0.26,14.72,14
zipf-0.99,2,4,key_hash,3,1056259,0.25,14.71,15
zipf-0.99,2,8,worker_id,1,1128988,0.25,14.66,14
zipf-0.99,2,8,worker_id,2,1116246,0.26,14.68,14
zipf-0.99,2,8,worker_id,3,1119430,0.26,15.27,14
zipf-0.99,2,8,key_hash,1,1112232,0.26,14.65,14
zipf-0.99,2,8,key_hash,2,1152138,0.26,14.64,14
zipf-0.99,2,8,key_hash,3,1129582,0.26,14.68,14
zipf-0.99,4,0,worker_id,1,1052362,0.32,23.87,14
zipf-0.99,4,0,worker_id,2,1149680,0.28,24.40,14
zipf-0.99,4,0,worker_id,3,1160384,0.28,23.92,14
zipf-0.99,4,0,key_hash,1,1075592,0.30,23.79,15
zipf-0.99,4,0,key_hash,2,1044872,0.30,23.85,14
zipf-0.99,4,0,key_hash,3,1035354,0.31,23.87,14
zipf-0.99,4,4,worker_id,1,1047518,0.31,23.88,14
zipf-0.99,4,4,worker_id,2,1144279,0.29,23.77,13
zipf-0.99,4,4,worker_id,3,1035181,0.31,23.85,14
zipf-0.99,4,4,key_hash,1,1045287,0.31,23.82,15
zipf-0.99,4,4,key_hash,2,1159012,0.29,23.83,14
zipf-0.99,4,4,key_hash,3,1041272,0.30,23.86,14
zipf-0.99,4,8,worker_id,1,1073583,0.30,23.84,14
zipf-0.99,4,8,worker_id,2,1027567,0.31,24.03,14
zipf-0.99,4,8,worker_id,3,1047003,0.30,23.85,14
zipf-0.99,4,8,key_hash,1,1038958,0.31,23.84,15
zipf-0.99,4,8,key_hash,2,1051230,0.31,23.88,14
zipf-0.99,4,8,key_hash,3,1034120,0.32,23.80,15
zipf-0.99,8,0,worker_id,1,1162936,0.31,42.38,14
zipf-0.99,8,0,worker_id,2,1108312,0.32,42.41,14
zipf-0.99,8,0,worker_id,3,1085893,0.33,42.41,14
zipf-0.99,8,0,key_hash,1,1103536,0.33,42.40,14
zipf-0.99,8,0,key_hash,2,1068862,0.34,42.39,14
zipf-0.99,8,0,key_hash,3,1151074,0.31,42.35,14
zipf-0.99,8,4,worker_id,1,2059337,0.32,25.18,12
zipf-0.99,8,4,worker_id,2,2061789,0.31,25.25,12
zipf-0.99,8,4,worker_id,3,2050817,0.32,25.09,12
zipf-0.99,8,4,key_hash,1,1757683,0.34,37.20,13
zipf-0.99,8,4,key_hash,2,1906185,0.32,36.82,12
zipf-0.99,8,4,key_hash,3,1765003,0.34,37.02,13
zipf-0.99,8,8,worker_id,1,1159777,0.31,42.37,14
zipf-0.99,8,8,worker_id,2,1164863,0.31,42.54,14
zipf-0.99,8,8,worker_id,3,1068907,0.34,42.45,14
zipf-0.99,8,8,key_hash,1,1113873,0.32,42.35,14
zipf-0.99,8,8,key_hash,2,1105658,0.32,42.48,14
zipf-0.99,8,8,key_hash,3,1075884,0.33,42.33,14
zipf-0.99,16,0,worker_id,1,1166369,0.33,80.72,14
zipf-0.99,16,0,worker_id,2,1044910,0.36,81.29,14
zipf-0.99,16,0,worker_id,3,1147416,0.34,80.89,14
zipf-0.99,16,0,key_hash,1,1139671,0.34,80.56,14
zipf-0.99,16,0,key_hash,2,1118499,0.35,80.63,14
zipf-0.99,16,0,key_hash,3,1152758,0.33,80.69,14
zipf-0.99,16,4,worker_id,1,4065771,0.40,25.50,11
zipf-0.99,16,4,worker_id,2,4271291,0.38,25.34,11
zipf-0.99,16,4,worker_id,3,4063937,0.39,25.37,11
zipf-0.99,16,4,key_hash,1,3407603,0.35,44.65,11
zipf-0.99,16,4,key_hash,2,3664104,0.35,44.33,11
zipf-0.99,16,4,key_hash,3,3533044,0.34,44.78,11
zipf-0.99,16,8,worker_id,1,2166897,0.33,45.60,11
zipf-0.99,16,8,worker_id,2,2045637,0.36,45.54,12
zipf-0.99,16,8,worker_id,3,2160615,0.33,45.48,12
zipf-0.99,16,8,key_hash,1,1910168,0.34,71.92,12
zipf-0.99,16,8,key_hash,2,2003503,0.34,71.01,12
zipf-0.99,16,8,key_hash,3,1918439,0.37,73.16,12
zipf-0.99,32,0,worker_id,1,1180467,0.41,144.75,14
zipf-0.99,32,0,worker_id,2,1172166,0.41,145.22,14
zipf-0.99,32,0,worker_id,3,1051797,0.41,145.79,15
zipf-0.99,32,0,key_hash,1,1084063,0.43,144.39,14
zipf-0.99,32,0,key_hash,2,1147342,0.42,143.73,14
zipf-0.99,32,0,key_hash,3,1177797,0.41,143.56,14
zipf-0.99,32,4,worker_id,1,4541181,0.42,41.63,10
zipf-0.99,32,4,worker_id,2,4747161,0.40,41.18,11
zipf-0.99,32,4,worker_id,3,4204107,0.44,42.31,11
zipf-0.99,32,4,key_hash,1,4328607,0.49,114.41,11
zipf-0.99,32,4,key_hash,2,4261361,0.53,115.36,11
zipf-0.99,32,4,key_hash,3,4403195,0.50,115.69,11
zipf-0.99,32,8,worker_id,1,3941175,0.42,44.43,11
zipf-0.99,32,8,worker_id,2,4076511,0.40,44.15,11
zipf-0.99,32,8,worker_id,3,4084877,0.43,44.43,11
zipf-0.99,32,8,key_hash,1,3359684,0.50,105.82,11
zipf-0.99,32,8,key_hash,2,3400812,0.48,114.94,11
zipf-0.99,32,8,key_hash,3,3523891,0.41,111.36,11
zipf-0.99,64,0,worker_id,1,1132836,0.38,285.64,18
zipf-0.99,64,0,worker_id,2,1020767,0.53,289.90,18
zipf-0.99,64,0,worker_id,3,1142947,0.39,287.77,18
zipf-0.99,64,0,key_hash,1,1132150,0.44,286.48,18
zipf-0.99,64,0,key_hash,2,1143139,0.38,308.68,18
zipf-0.99,64,0,key_hash,3,1041871,0.42,285.83,19
zipf-0.99,64,4,worker_id,1,4951524,0.54,70.70,18
zipf-0.99,64,4,worker_id,2,5203000,0.62,63.57,18
zipf-0.99,64,4,worker_id,3,5897123,0.54,65.70,17
zipf-0.99,64,4,key_hash,1,4512557,0.65,224.91,18
zipf-0.99,64,4,key_hash,2,3955639,0.65,245.87,18
zipf-0.99,64,4,key_hash,3,4166687,0.63,218.67,18
zipf-0.99,64,8,worker_id,1,4258109,0.39,86.70,18
zipf-0.99,64,8,worker_id,2,4678870,0.46,80.90,18
zipf-0.99,64,8,worker_id,3,4218526,0.41,91.91,18
zipf-0.99,64,8,key_hash,1,4218654,0.59,265.59,18
zipf-0.99,64,8,key_hash,2,3448294,0.66,287.03,18
zipf-0.99,64,8,key_hash,3,3934966,0.64,270.58,18
