op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037987899,1258,2528,318,10624,3700,4982,23410,5672,3112,36,8820,14590
72057594037987923,1250,2542,632,11828,4398,4288,24938,5842,3116,34,8992,15946
72057594037988427,1258,2644,364,11032,4182,4374,23854,5694,2914,34,8642,15212
72057594037988446,1258,3438,268,11328,4094,4412,24798,6072,3176,36,9284,15514
72057594037988458,1252,2526,120,11220,3856,4432,23406,5822,3034,36,8892,14514
72057594037989008,1256,2654,286,12198,4128,4514,25036,6144,3566,34,9744,15292
72057594037990073,1258,2770,120,10362,4222,4322,23054,5378,2990,34,8402,14652
72057594037990438,1262,2528,292,10444,3784,4394,22704,4872,3494,36,8402,14302
72057594037990663,1258,2784,278,12338,4296,4978,25932,5398,3206,36,8640,17292
72057594037990809,1256,2588,278,15022,4014,4354,27512,11168,2988,36,14192,13320
72057594037990895,1250,2558,290,10298,4220,4844,23460,5668,3106,34,8808,14652
72057594037991518,1260,2946,196,11460,4062,4432,24356,6046,3210,34,9290,15066
72057594037991590,1270,2526,298,12338,3728,4492,24652,4672,3236,38,7946,16706
72057594037991997,1260,2590,406,11058,3846,4338,23498,5600,3266,36,8902,14596
72057594037992186,1270,2740,300,10966,4072,4408,23756,5346,2964,40,8350,15406
72057594037992628,1254,2678,274,11268,4078,4450,24002,2748,3258,36,6042,17960
72057594037992853,1264,2616,272,13096,4068,4430,25746,11566,3206,36,14808,10938
72057594037992900,1384,2854,326,12342,4396,4446,25748,5472,3106,38,8616,17132
72057594037993230,1258,2518,238,10654,4370,4370,23408,4360,3228,36,7624,15784
72057594037994172,1262,2504,320,12060,3972,4410,24528,5754,3110,38,8902,15626
72057594037994531,1266,2606,296,11454,3906,4414,23942,5610,3174,38,8822,15120
72057594037995001,1264,2770,134,10926,4070,4420,23584,5712,2848,36,8596,14988
72057594037995061,1260,2744,242,12790,4342,4304,25682,6836,3766,36,10638,15044
72057594037995156,1256,2528,130,11800,4260,4398,24372,5806,3026,40,8872,15500
72057594037995189,1256,2738,168,12604,4202,4418,25386,7392,3082,36,10510,14876
72057594037995282,1268,2802,336,10444,4322,4832,24004,5544,3076,38,8658,15346
72057594037995447,1258,2660,140,12010,4166,4384,24618,6974,3120,36,10130,14488
72057594037995485,1254,2778,258,10348,4246,4444,23328,5878,3106,36,9020,14308
72057594037995499,1308,2802,626,19508,4480,4804,33528,5554,11606,36,17196,16332
72057594037995507,1252,2656,146,10624,3972,4588,23238,5784,3122,36,8942,14296
72057594037995801,1244,2598,300,10840,4100,4558,23640,5854,3108,38,9000,14640
72057594037997225,1262,2550,140,12170,3742,4558,24422,6250,3424,36,9710,14712
72057594037997315,1274,2776,122,12000,4302,4382,24856,6204,3042,36,9282,15574
72057594037997505,1262,2530,200,10716,4560,4962,24230,4262,3424,36,7722,16508
72057594037997517,1254,2532,182,13264,3832,4432,25496,4694,3186,36,7916,17580
72057594037997758,1268,2744,164,11132,3888,4420,23616,4214,3252,36,7502,16114
72057594037998073,1258,2764,288,10892,4100,4424,23726,5430,3348,38,8816,14910
72057594037998074,1644,2732,272,11266,4124,4660,24698,6736,3016,38,9790,14908
72057594037998118,1260,2554,144,11892,3796,4374,24020,4410,2972,38,7420,16600
72057594037998624,1272,2734,278,11092,4060,4866,24302,5322,3256,42,8620,15682
72057594037998631,1256,2570,270,11120,4166,4506,23888,6256,3106,36,9398,14490
72057594037999143,1314,2584,252,11088,3880,4396,23514,4644,2916,40,7600,15914
72057594037999340,1264,2730,296,11944,4190,4412,24836,5336,3368,36,8740,16096
72057594037999454,1242,2758,364,10874,4082,4396,23716,5362,3066,36,8464,15252
72057594037999992,1252,2658,126,11592,4068,5108,24804,5390,3236,36,8662,16142
72057594038000004,1246,3048,146,11574,4164,12068,32246,6056,3128,36,9220,23026
72057594038000211,1272,2542,332,11848,3976,4924,24894,5796,3144,40,8980,15914
72057594038000267,1268,2582,270,10028,3946,4312,22406,4358,3034,34,7426,14980
72057594038000439,1256,2670,138,11142,4124,4404,23734,16720,3110,40,19870,3864
