exp,build,V,T,scenario,keydist,rep,thpt_Mops,r_p50_us,r_p99_us,r2hit,r2miss_local,wallclock_s
exp2,baseline,1024,32,local_read,zipf-1.5,2,15.653,0.197,14.129,34634,121616,14
exp2,baseline,1024,32,local_read,zipf-1.5,3,15.678,0.195,13.725,34583,121667,14
exp2,baseline,1024,64,local_read,zipf-1.5,1,16.455,0.211,47.319,17273,60852,22
exp2,baseline,1024,64,local_read,zipf-1.5,2,16.456,0.212,49.802,17279,60846,23
exp2,baseline,1024,64,local_read,zipf-1.5,3,16.299,0.210,53.305,17280,60845,22
exp2,B_no_flush,1024,8,local_read,zipf-1.5,1,61.263,0.172,10.294,138299,486701,13
exp2,B_no_flush,1024,8,local_read,zipf-1.5,2,62.181,0.185,10.249,131602,493398,13
exp2,B_no_flush,1024,8,local_read,zipf-1.5,3,62.395,0.197,10.345,138291,486709,13
exp2,B_no_flush,1024,16,local_read,zipf-1.5,1,92.254,0.178,10.580,68915,243585,14
exp2,B_no_flush,1024,16,local_read,zipf-1.5,2,89.713,0.187,10.584,68963,243537,13
exp2,B_no_flush,1024,16,local_read,zipf-1.5,3,89.324,0.195,10.742,68922,243578,13
exp2,B_no_flush,1024,32,local_read,zipf-1.5,1,113.903,0.218,13.253,34389,121861,14
exp2,B_no_flush,1024,32,local_read,zipf-1.5,2,112.524,0.209,13.218,34470,121780,14
exp2,B_no_flush,1024,32,local_read,zipf-1.5,3,113.642,0.229,13.373,34484,121766,13
exp2,B_no_flush,1024,64,local_read,zipf-1.5,1,112.674,0.361,16.963,17187,60938,23
exp2,B_no_flush,1024,64,local_read,zipf-1.5,2,110.324,0.341,16.669,17188,60937,22
exp2,B_no_flush,1024,64,local_read,zipf-1.5,3,112.266,0.351,16.993,17192,60933,23
