op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037929180,1216,2430,320,468232,4156,8336,484690,7404,1384,38,8826,475864
72057594037928083,1124,2456,280,721504,2716,19138,747218,7814,1518,38,9370,737848
72057594037928113,1206,2496,200,652386,2816,7962,667066,6972,1340,36,8348,658718
72057594037928177,1654,2468,262,636786,2634,7330,651134,7764,1432,38,9234,641900
72057594037928411,926,2604,260,455790,3636,7788,471004,15692,1552,38,17282,453722
72057594037928706,1186,2492,314,463018,3542,7842,478394,7582,1304,38,8924,469470
72057594037929109,1264,2866,286,477994,3528,7434,493372,6826,1540,40,8406,484966
72057594037928274,1234,2602,292,484432,3208,18298,510066,7594,1284,38,8916,501150
72057594037928915,1452,2262,148,466068,3492,9262,482684,7692,1270,38,9000,473684
72057594037929047,2032,2356,194,470098,2986,7910,485576,7172,1450,38,8660,476916
72057594037929121,1120,2400,290,491342,2594,3744,501490,7100,1396,38,8534,492956
72057594037927984,1116,2268,284,650804,3006,17894,675372,7726,1496,42,9264,666108
72057594037928319,1272,2300,312,483392,3066,7846,498188,7436,1362,38,8836,489352
72057594037928567,1392,2502,180,484186,2848,9170,500278,6870,1392,42,8304,491974
72057594037928883,1112,2414,276,469400,2700,8088,483990,16526,1726,36,18288,465702
72057594037929411,1130,2322,120,483408,2862,7190,497032,6334,1312,36,7682,489350
72057594037928167,1092,2350,302,661710,2746,19618,687818,7584,1430,36,9050,678768
72057594037928202,1258,2542,346,471980,4234,7084,487444,7356,1394,38,8788,478656
72057594037928351,1086,2250,418,484242,2596,7080,497672,6850,1362,40,8252,489420
72057594037928541,1096,2324,284,478686,3676,7154,493220,6910,1316,38,8264,484956
72057594037928114,1170,2574,74,614436,3792,18308,640354,29960,1374,38,31372,608982
72057594037928195,1178,2518,252,515374,2868,8466,530656,7250,1366,38,8654,522002
72057594037929289,1170,3334,154,481722,2760,8364,497504,5304,1294,40,6638,490866
72057594037929302,1256,2426,122,460938,3524,8486,476752,5330,1422,38,6790,469962
72057594037928109,1072,2362,310,473106,3564,8084,488498,7852,1414,38,9304,479194
72057594037928113,1112,2362,324,662602,3696,8610,678706,6972,1340,36,8348,670358
72057594037928425,1080,2408,144,475370,3904,8972,491878,7016,1388,40,8444,483434
72057594037928435,1120,2550,138,467288,2958,8224,482278,7474,1244,36,8754,473524
72057594037928542,1074,2222,320,479032,3358,7286,493292,6878,1390,38,8306,484986
72057594037928564,1138,2266,124,462360,3248,8402,477538,7086,1284,40,8410,469128
72057594037928743,1146,2452,74,471548,2938,6914,485072,7196,1248,42,8486,476586
72057594037928769,1338,2212,260,465478,2704,7936,479928,7086,1350,44,8480,471448
72057594037928857,1094,2182,652,480388,3738,8402,496456,6982,1274,38,8294,488162
72057594037929260,1100,2360,260,466834,3722,7180,481456,7104,1474,38,8616,472840
72057594037929400,1068,2166,194,470312,3552,8006,485298,5062,1392,38,6492,478806
72057594037929429,1082,2238,74,476538,3476,8036,491444,5616,1732,42,7390,484054
72057594037927953,1148,2490,268,629792,3716,16654,654068,8694,3862,44,12600,641468
72057594037928098,1184,2476,72,485818,21932,7416,518898,7646,1460,40,9146,509752
72057594037928271,1168,2406,192,462512,3848,4726,474852,7726,1266,36,9028,465824
72057594037928314,716,2522,330,481236,2604,9122,496530,6788,1324,42,8154,488376
72057594037928413,1168,2490,122,488360,2754,6854,501748,7438,1296,38,8772,492976
72057594037928452,1166,2578,126,463380,2866,7932,478048,6806,1426,38,8270,469778
72057594037929289,2070,3524,302,479712,2744,8552,496904,5304,1294,40,6638,490266
72057594037927946,1106,2220,1316,641598,2580,18856,667676,7420,1580,40,9040,658636
72057594037928716,1090,2422,314,469176,2862,7460,483324,7154,1476,36,8666,474658
72057594037929258,1092,2314,186,486430,3666,8108,501796,7658,1288,36,8982,492814
72057594037929332,1098,2400,326,478586,2758,7890,493058,5382,1400,38,6820,486238
72057594037928496,1140,2288,468,460806,3446,8222,476370,7680,1320,36,9036,467334
72057594037929314,1264,2514,276,499178,2912,9744,515888,5400,1284,36,6720,509168
72057594037928008,1146,2548,296,481318,2734,21310,509352,8132,1428,38,9598,499754
